Number Frequencies over 2370 draws.
number 1 occured 293 times.(12.362869)
number 2 occured 287 times.(12.109704)
number 3 occured 294 times.(12.405064)
number 4 occured 282 times.(11.898734)
number 5 occured 280 times.(11.814346)
number 6 occured 272 times.(11.476793)
number 7 occured 301 times.(12.700422)
number 8 occured 278 times.(11.729958)
number 9 occured 288 times.(12.151898)
number 10 occured 279 times.(11.772152)
number 11 occured 260 times.(10.970465)
number 12 occured 292 times.(12.320675)
number 13 occured 278 times.(11.729958)
number 14 occured 263 times.(11.097047)
number 15 occured 260 times.(10.970465)
number 16 occured 284 times.(11.983123)
number 17 occured 277 times.(11.687764)
number 18 occured 269 times.(11.350211)
number 19 occured 290 times.(12.236287)
number 20 occured 310 times.(13.08017)
number 21 occured 290 times.(12.236287)
number 22 occured 272 times.(11.476793)
number 23 occured 281 times.(11.856541)
number 24 occured 273 times.(11.518988)
number 25 occured 276 times.(11.64557)
number 26 occured 296 times.(12.489451)
number 27 occured 309 times.(13.037975)
number 28 occured 265 times.(11.181435)
number 29 occured 289 times.(12.194093)
number 30 occured 291 times.(12.278481)
number 31 occured 326 times.(13.755274)
number 32 occured 303 times.(12.78481)
number 33 occured 286 times.(12.067511)
number 34 occured 324 times.(13.670885)
number 35 occured 283 times.(11.940928)
number 36 occured 280 times.(11.814346)
number 37 occured 284 times.(11.983123)
number 38 occured 301 times.(12.700422)
number 39 occured 284 times.(11.983123)
number 40 occured 322 times.(13.586497)
number 41 occured 305 times.(12.869199)
number 42 occured 296 times.(12.489451)
number 43 occured 324 times.(13.670885)
number 44 occured 293 times.(12.362869)
number 45 occured 315 times.(13.29114)
number 46 occured 325 times.(13.713079)
number 47 occured 321 times.(13.544303)
number 48 occured 272 times.(11.476793)
number 49 occured 297 times.(12.531646)
